,Date,Timestamp,Liquity,Liquity,Liquity,Liquity,Liquity,Liquity
,,,CDP,CDP,CDP,CDP,CDP,CDP
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,06/04/2021,1617667200,197972839.7512483,197972839.7512483,197972839.7512483,197972839.7512483,96112.94144106387,96112.94144106387
,07/04/2021,1617753600,401085638.07946384,401085638.07946384,401085638.07946384,401085638.07946384,188487.91016911887,188487.91016911887
,08/04/2021,1617840000,416313377.47001976,416313377.47001976,416313377.47001976,416313377.47001976,212308.78388621495,212308.78388621495
,09/04/2021,1617926400,451578104.3576181,451578104.3576181,451578104.3576181,451578104.3576181,225910.54281113093,225910.54281113093
,10/04/2021,1618012800,477438950.9660423,477438950.9660423,477438950.9660423,477438950.9660423,228995.03057939583,228995.03057939583
,11/04/2021,1618099200,497655191.8808817,497655191.8808817,497655191.8808817,497655191.8808817,230089.87422533205,230089.87422533205
,12/04/2021,1618185600,502027701.4403866,502027701.4403866,502027701.4403866,502027701.4403866,233831.97367969455,233831.97367969455
,13/04/2021,1618272000,588700695.3242539,588700695.3242539,588700695.3242539,588700695.3242539,274019.7092132768,274019.7092132768
,14/04/2021,1618358400,690947042.2283745,690947042.2283745,690947042.2283745,690947042.2283745,310670.7601021628,310670.7601021628
,15/04/2021,1618444800,879877765.0508341,879877765.0508341,879877765.0508341,879877765.0508341,369741.52535645314,369741.52535645314
,16/04/2021,1618531200,1022924676.1600902,1022924676.1600902,1022924676.1600902,1022924676.1600902,420492.9939114951,420492.9939114951
,17/04/2021,1618617600,1034701790.2862475,1034701790.2862475,1034701790.2862475,1034701790.2862475,435720.1911447124,435720.1911447124
,18/04/2021,1618704000,1068148358.1972829,1068148358.1972829,1068148358.1972829,1068148358.1972829,445383.20399063267,445383.20399063267
,19/04/2021,1618790400,2319327284.6580114,2319327284.6580114,2319327284.6580114,2319327284.6580114,1114183.8204900224,1114183.8204900224
,20/04/2021,1618876800,2451928043.476314,2451928043.476314,2451928043.476314,2451928043.476314,1104002.2351924728,1104002.2351924728
,21/04/2021,1618963200,2384593608.8529654,2384593608.8529654,2384593608.8529654,2384593608.8529654,1097090.5707436698,1097090.5707436698
,22/04/2021,1619049600,2462088653.6792307,2462088653.6792307,2462088653.6792307,2462088653.6792307,1094858.78186463,1094858.78186463
,23/04/2021,1619136000,2942364332.5347543,2942364332.5347543,2942364332.5347543,2942364332.5347543,1153745.8949059958,1153745.8949059958
,24/04/2021,1619222400,2644313964.9395866,2644313964.9395866,2644313964.9395866,2644313964.9395866,1163090.2325166939,1163090.2325166939
,25/04/2021,1619308800,2606360282.996393,2606360282.996393,2606360282.996393,2606360282.996393,1179390.3736241178,1179390.3736241178
,26/04/2021,1619395200,2737958444.142471,2737958444.142471,2737958444.142471,2737958444.142471,1187897.7273161632,1187897.7273161632
,27/04/2021,1619481600,2967953410.824428,2967953410.824428,2967953410.824428,2967953410.824428,1180773.4214387164,1180773.4214387164
,28/04/2021,1619568000,3005408305.8339696,3005408305.8339696,3005408305.8339696,3005408305.8339696,1174472.3647798041,1174472.3647798041
,29/04/2021,1619654400,3196446336.0079265,3196446336.0079265,3196446336.0079265,3196446336.0079265,1174627.9634089044,1174627.9634089044
,30/04/2021,1619740800,3244986841.9816284,3244986841.9816284,3244986841.9816284,3244986841.9816284,1174126.5682342602,1174126.5682342602
,01/05/2021,1619827200,3241937170.806901,3241937170.806901,3241937170.806901,3241937170.806901,1171455.6881844013,1171455.6881844013
,02/05/2021,1619913600,3345465460.0997243,3345465460.0997243,3345465460.0997243,3345465460.0997243,1166751.605151174,1166751.605151174
,03/05/2021,1620000000,3418160239.427481,3418160239.427481,3418160239.427481,3418160239.427481,1166371.6179357558,1166371.6179357558
,04/05/2021,1620086400,3660553597.0097375,3660553597.0097375,3660553597.0097375,3660553597.0097375,1155727.3962427075,1155727.3962427075
,05/05/2021,1620172800,3975593069.672874,3975593069.672874,3975593069.672874,3975593069.672874,1150681.602162009,1150681.602162009
